user_id,age,reels_watch_time_hours,daily_screen_time_hours,sleep_hours,attention_span_score,focus_level,task_completion_rate,stress_level,platform
1,21,1.86,7.34,8.95,4.99,5.09,45.44,Medium,TikTok
2,34,3.03,5.78,5.78,3.73,8.25,50.17,High,TikTok
3,43,3.96,9.62,5.46,5.48,8.96,43.27,Low,TikTok
4,29,3.56,7.25,5.09,5.54,9.77,64.99,Low,Instagram Reels
5,25,4.58,2.13,8.12,8.07,4.11,89.28,Low,Instagram Reels
6,22,2.04,9.36,5.05,2.11,6.35,88.73,Medium,YouTube Shorts
7,43,3.61,9.32,8.62,1.74,8.41,94.29,Low,TikTok
8,35,0.98,3.65,7.34,4.62,5.79,84.74,Medium,YouTube Shorts
9,21,2.78,11.57,8.49,8.99,5.16,54.67,High,YouTube Shorts
10,40,4.63,4.24,6.77,8.7,6.15,82.14,Medium,Instagram Reels
11,33,4.31,6.58,7.45,6.04,4.21,85.23,High,TikTok
12,37,5.95,3.15,7.1,9.0,2.73,72.59,Medium,YouTube Shorts
13,25,2.03,8.03,8.16,8.25,1.6,88.42,Low,YouTube Shorts
14,25,3.24,5.75,8.18,3.5,6.49,44.28,Low,YouTube Shorts
15,38,2.31,5.53,6.95,2.53,4.41,75.69,High,Instagram Reels
16,35,2.92,10.27,7.16,3.71,8.95,68.79,Low,TikTok
17,18,5.21,2.1,8.61,3.04,3.01,88.31,Low,TikTok
18,22,4.26,9.98,8.65,6.6,3.8,47.68,Low,Instagram Reels
19,38,5.35,7.71,7.32,6.26,9.73,52.76,High,TikTok
20,17,1.62,11.86,4.04,6.39,6.01,73.52,Medium,Instagram Reels
21,36,5.3,7.89,4.52,2.7,4.12,96.83,Medium,TikTok
22,35,0.83,2.55,8.29,8.13,8.75,44.99,High,YouTube Shorts
23,16,5.39,2.51,4.42,4.9,7.69,84.6,High,TikTok
24,38,2.31,10.83,5.07,5.25,6.16,52.32,Low,YouTube Shorts
25,26,2.23,10.41,5.15,9.97,9.0,46.33,Medium,TikTok
26,44,3.32,5.46,7.0,3.54,1.85,63.69,High,YouTube Shorts
27,20,5.67,8.18,6.88,4.55,4.55,74.98,Medium,TikTok
28,16,0.76,6.9,5.45,7.09,8.29,89.62,High,YouTube Shorts
29,42,2.44,11.67,5.04,8.92,4.47,78.08,High,TikTok
30,35,5.21,11.5,7.82,2.14,9.34,69.5,Low,Instagram Reels
31,15,2.68,11.84,8.68,7.62,2.37,57.14,Medium,TikTok
32,26,1.6,10.66,4.26,9.26,4.03,57.55,Medium,YouTube Shorts
33,40,2.84,11.1,4.67,4.81,4.83,86.23,High,Instagram Reels
34,36,2.62,4.17,7.21,3.58,7.18,46.84,High,Instagram Reels
35,43,5.53,10.31,8.02,7.1,2.76,48.79,High,YouTube Shorts
36,26,4.69,9.09,7.96,3.21,1.09,83.18,High,Instagram Reels
37,39,3.28,11.63,7.6,4.46,9.79,97.66,Low,YouTube Shorts
38,31,5.94,7.71,8.44,9.07,9.09,47.21,Low,Instagram Reels
39,41,3.06,2.85,5.09,6.31,3.7,76.57,High,TikTok
40,41,0.82,7.97,4.54,1.85,5.35,54.35,Low,YouTube Shorts
41,24,1.94,8.87,7.08,3.97,5.4,41.55,Medium,Instagram Reels
42,42,2.9,4.2,8.11,6.65,8.82,89.94,Medium,Instagram Reels
43,42,1.36,5.94,6.91,5.33,6.37,70.52,High,YouTube Shorts
44,30,5.71,7.99,8.81,6.94,8.44,41.43,Low,YouTube Shorts
45,29,4.72,5.74,7.98,7.85,9.21,93.73,Low,YouTube Shorts
46,44,1.98,5.75,7.5,5.33,6.09,72.14,High,Instagram Reels
47,44,3.75,3.33,4.3,9.88,3.57,84.22,Low,Instagram Reels
48,29,4.47,11.41,4.54,9.23,5.49,65.41,Medium,TikTok
49,44,5.68,9.5,7.92,1.54,8.66,51.09,Medium,YouTube Shorts
50,33,5.35,2.01,4.99,3.4,6.25,67.93,Medium,TikTok
51,26,3.33,9.66,4.14,3.7,9.06,57.26,Medium,YouTube Shorts
52,37,4.76,9.4,8.55,2.66,9.06,57.8,High,Instagram Reels
53,34,3.59,2.1,8.45,3.81,4.36,78.63,Low,YouTube Shorts
54,39,3.54,5.7,5.09,4.82,5.03,45.64,Low,TikTok
55,17,1.13,8.07,7.9,1.46,7.1,63.82,Medium,TikTok
56,19,1.19,6.53,4.24,2.15,2.0,72.8,Low,Instagram Reels
57,33,3.41,9.78,5.43,1.87,5.19,82.59,Medium,TikTok
58,21,1.98,6.25,7.12,1.42,2.34,77.97,High,TikTok
59,35,0.62,3.54,7.82,5.33,8.63,93.17,High,Instagram Reels
60,23,4.48,11.76,4.05,4.0,9.49,99.54,High,TikTok
61,21,0.68,4.42,5.63,9.42,2.27,96.25,Medium,Instagram Reels
62,32,3.77,9.18,5.07,1.92,7.01,85.85,Medium,Instagram Reels
63,18,3.47,3.43,8.99,9.33,6.73,81.16,High,TikTok
64,39,5.83,5.29,7.35,1.78,7.84,42.13,Low,Instagram Reels
65,42,3.16,6.42,6.03,6.57,7.26,72.01,Low,YouTube Shorts
66,28,0.85,3.92,4.38,3.23,2.95,79.82,Low,Instagram Reels
67,32,3.53,6.5,6.99,8.44,3.62,64.78,Medium,TikTok
68,40,5.13,3.57,7.21,1.55,2.49,63.09,Medium,YouTube Shorts
69,23,5.98,7.59,8.08,9.57,9.29,72.55,Medium,YouTube Shorts
70,40,2.87,8.64,5.44,1.43,5.7,94.4,Low,YouTube Shorts
71,35,2.26,2.62,8.91,3.17,9.79,55.66,High,YouTube Shorts
72,16,5.49,10.71,6.2,5.18,5.04,63.94,Low,Instagram Reels
73,34,1.55,3.85,5.48,7.8,5.97,79.19,High,Instagram Reels
74,42,3.88,4.25,5.74,9.56,8.1,51.16,High,Instagram Reels
75,29,2.73,8.61,6.6,4.85,8.18,90.09,Medium,TikTok
76,42,0.73,6.69,8.68,7.82,3.08,79.96,Low,TikTok
77,21,2.41,6.99,7.68,7.54,3.59,61.14,High,YouTube Shorts
78,26,1.96,3.28,6.89,6.14,1.88,83.33,Medium,TikTok
79,43,4.27,10.06,4.81,7.22,8.25,56.76,Medium,Instagram Reels
80,22,5.72,8.17,4.75,1.34,8.14,86.47,Low,Instagram Reels
81,29,1.97,3.35,6.51,4.97,1.73,44.24,Medium,Instagram Reels
82,17,4.96,5.74,7.64,8.07,3.32,65.61,Low,Instagram Reels
83,28,0.8,10.1,7.76,5.27,5.05,55.7,Medium,Instagram Reels
84,31,3.46,7.68,5.13,8.86,5.88,89.0,Low,YouTube Shorts
85,18,0.89,3.09,4.5,8.5,5.7,85.16,Medium,Instagram Reels
86,32,5.64,5.73,5.92,8.77,9.85,90.51,High,Instagram Reels
87,22,4.71,4.43,8.59,2.17,7.88,79.09,Low,Instagram Reels
88,18,4.12,7.17,6.73,3.2,2.02,87.72,High,YouTube Shorts
89,16,5.03,10.43,5.6,1.27,3.64,66.33,Low,Instagram Reels
90,44,4.06,6.36,5.62,9.85,4.11,80.68,Low,TikTok
91,20,5.83,6.33,4.66,3.13,3.84,41.87,Low,YouTube Shorts
92,36,4.43,11.05,6.37,4.3,8.07,92.84,Medium,YouTube Shorts
93,24,5.59,7.76,7.96,3.47,4.25,81.09,High,Instagram Reels
94,18,3.34,7.66,8.84,1.36,5.43,91.97,Medium,Instagram Reels
95,36,1.14,4.62,6.51,3.35,5.8,86.25,Low,Instagram Reels
96,43,3.4,8.08,4.84,1.88,3.43,57.18,High,YouTube Shorts
97,32,1.2,7.76,7.41,4.55,3.9,56.37,High,YouTube Shorts
98,40,3.76,5.97,7.78,9.7,8.02,87.98,Low,TikTok
99,26,3.15,11.91,4.36,7.28,8.8,51.08,Medium,Instagram Reels
100,16,3.92,10.82,8.25,7.36,1.33,46.64,High,Instagram Reels
101,24,0.56,9.5,8.15,5.08,6.45,40.9,High,Instagram Reels
102,44,1.57,7.37,6.36,8.3,6.7,57.91,High,YouTube Shorts
103,18,3.2,6.62,6.8,9.17,7.64,45.96,Medium,YouTube Shorts
104,28,5.73,3.85,7.57,9.65,7.24,88.1,High,YouTube Shorts
105,30,2.61,5.06,7.38,1.89,8.9,69.07,Low,YouTube Shorts
106,29,2.83,9.74,4.08,8.92,1.71,55.15,Medium,YouTube Shorts
107,22,4.43,6.54,4.61,3.03,4.5,76.13,Low,TikTok
108,28,3.82,10.82,4.81,4.58,8.04,44.22,High,YouTube Shorts
109,37,2.14,3.48,7.78,4.11,8.62,83.57,Low,YouTube Shorts
110,42,2.76,7.08,6.2,7.08,3.38,70.08,Low,TikTok
111,39,1.7,8.47,6.73,6.38,6.27,40.39,Medium,YouTube Shorts
112,44,5.81,7.17,7.86,1.98,2.63,59.15,Medium,TikTok
113,22,1.22,10.89,5.7,8.05,8.66,85.01,Medium,Instagram Reels
114,35,2.55,11.9,7.74,4.96,7.57,51.29,High,TikTok
115,30,0.64,3.16,6.21,1.02,3.0,97.71,Medium,Instagram Reels
116,27,1.72,3.3,5.89,4.73,6.61,93.8,Medium,TikTok
117,32,4.79,3.3,5.67,5.65,5.58,86.69,Low,Instagram Reels
118,29,1.61,8.81,8.82,1.62,3.33,44.71,Low,TikTok
119,35,0.94,5.73,7.86,2.36,9.04,61.23,Low,Instagram Reels
120,38,3.11,9.33,4.1,9.94,2.33,57.89,Medium,YouTube Shorts
121,40,0.55,6.05,8.79,8.84,5.21,48.26,Medium,TikTok
122,39,0.97,8.28,7.88,2.2,6.25,99.98,High,YouTube Shorts
123,42,4.94,9.7,4.75,6.22,8.41,48.83,Low,TikTok
124,42,4.74,7.48,4.38,4.41,2.35,58.92,High,YouTube Shorts
125,42,5.53,7.4,5.54,5.89,6.48,92.81,Medium,Instagram Reels
126,27,5.2,2.88,7.12,5.23,1.06,48.66,High,Instagram Reels
127,23,4.26,6.11,7.08,1.43,8.4,68.17,Medium,Instagram Reels
128,43,0.79,7.46,5.38,3.84,3.11,98.54,Medium,YouTube Shorts
129,29,4.81,6.62,6.23,2.13,7.49,54.84,High,TikTok
130,27,5.15,11.01,5.06,5.4,6.42,82.18,Low,YouTube Shorts
131,15,4.89,11.07,4.25,9.17,1.45,44.8,High,TikTok
132,39,3.3,10.22,6.58,9.96,2.65,76.05,Low,Instagram Reels
133,21,1.78,5.75,5.73,9.5,3.41,60.34,Low,TikTok
134,23,5.15,9.17,6.71,9.87,8.98,81.97,Medium,Instagram Reels
135,38,4.5,5.95,8.73,1.14,5.33,65.97,High,Instagram Reels
136,15,5.89,4.33,4.72,7.57,9.22,57.94,Low,YouTube Shorts
137,26,1.36,5.43,4.01,3.46,1.43,72.76,Medium,YouTube Shorts
138,22,1.74,2.71,4.38,8.79,1.06,48.38,Low,Instagram Reels
139,38,1.66,5.32,6.31,8.32,9.53,88.87,Low,Instagram Reels
140,25,4.86,6.61,7.53,4.81,7.52,85.04,Low,TikTok
141,33,1.53,11.55,6.9,5.26,8.05,72.7,Medium,Instagram Reels
142,31,0.87,5.13,6.47,3.39,9.24,62.02,Low,TikTok
143,22,5.99,11.02,5.77,3.6,9.86,94.91,Medium,YouTube Shorts
144,17,0.64,4.29,5.55,9.83,1.88,78.07,Medium,Instagram Reels
145,17,5.09,3.91,5.88,9.0,2.42,57.09,Low,YouTube Shorts
146,15,2.51,7.19,7.06,2.73,2.7,88.4,Low,TikTok
147,41,5.13,8.73,4.84,3.48,8.37,78.1,Medium,TikTok
148,19,3.55,2.44,7.86,1.98,4.2,47.62,Low,Instagram Reels
149,24,5.46,4.21,6.88,9.9,6.34,46.85,High,Instagram Reels
150,21,5.59,6.56,5.35,9.16,8.7,96.29,Low,Instagram Reels
151,40,0.55,5.31,6.51,5.97,7.15,57.27,Low,TikTok
152,23,0.91,9.13,8.81,7.24,1.59,79.81,High,YouTube Shorts
153,42,1.88,7.11,4.1,7.73,5.01,42.19,Medium,Instagram Reels
154,21,4.18,3.6,5.0,2.83,1.61,73.39,Medium,YouTube Shorts
155,23,5.39,10.94,6.24,9.41,5.31,53.87,Medium,Instagram Reels
156,22,3.03,4.93,7.19,5.74,2.97,48.38,Medium,YouTube Shorts
157,26,3.84,9.31,5.06,1.83,1.01,86.41,High,TikTok
158,16,1.54,9.8,8.66,4.57,8.32,88.57,Medium,Instagram Reels
159,15,4.93,11.63,7.21,6.41,9.72,82.91,High,TikTok
160,30,5.82,6.99,8.39,4.18,9.68,40.67,High,TikTok
161,37,1.98,8.16,5.65,7.29,3.69,57.09,Low,YouTube Shorts
162,37,3.22,5.35,8.14,8.94,8.46,61.66,Medium,YouTube Shorts
163,44,0.97,8.78,5.89,7.95,7.11,81.45,Medium,TikTok
164,38,3.58,6.63,5.26,6.78,8.2,85.33,Low,Instagram Reels
165,19,3.27,6.38,8.56,5.61,8.62,77.67,Low,YouTube Shorts
166,17,1.29,10.55,4.46,3.29,9.82,87.35,Medium,TikTok
167,26,2.93,2.5,8.71,5.09,2.37,65.64,High,TikTok
168,22,2.34,10.82,6.29,3.64,7.93,72.51,Medium,TikTok
169,36,3.37,10.52,8.96,9.41,7.61,43.86,Low,Instagram Reels
170,41,3.72,7.06,6.7,9.17,3.59,65.63,Medium,YouTube Shorts
